date,home_team,away_team,tournament,match_year,elo_diff,home_elo,away_elo,home_form_pts,away_form_pts,form_pts_diff,home_form_gf,away_form_gf,home_form_ga,away_form_ga,home_is_host,away_is_host,host_diff,is_knockout,result
1910-05-16,Germany,Belgium,Friendly,1910,-64.0,1678.0,1742.0,2.0,1.8,0.19999999999999996,2.0,2.6,2.0,3.0,0,0,0,0,Away Win
1910-06-12,Argentina,Uruguay,Friendly,1910,171.0,2012.0,1841.0,2.0,0.8,1.2,1.8,1.2,1.2,1.8,0,0,0,0,Home Win
1910-08-15,Uruguay,Argentina,Copa Lipton,1910,-171.0,1841.0,2012.0,0.8,2.0,-1.2,1.2,2.2,2.2,1.2,0,0,0,0,Home Win
1910-10-16,Germany,Netherlands,Friendly,1910,-242.0,1678.0,1920.0,1.5,2.4,-0.8999999999999999,1.5,4.2,2.25,1.4,0,0,0,0,Away Win
1910-11-13,Argentina,Uruguay,Copa Premio Honor Argentino,1910,171.0,2012.0,1841.0,2.0,0.8,1.2,2.4,1.6,1.6,2.4,0,0,0,0,Draw
1910-11-27,Argentina,Uruguay,Copa Premio Honor Argentino,1910,171.0,2012.0,1841.0,1.6,1.0,0.6000000000000001,2.2,1.6,1.6,2.2,0,0,0,0,Away Win
1911-03-19,Belgium,Netherlands,Friendly,1911,-144.0,1783.0,1927.0,2.4,2.4,0.0,3.0,3.8,2.2,1.4,0,0,0,0,Away Win
1911-03-26,Germany,Switzerland,Friendly,1911,168.0,1658.0,1490.0,1.2,0.0,1.2,1.4,1.0,2.2,2.0,0,0,0,0,Home Win
1911-04-01,England,Scotland,British Home Championship,1911,317.0,2149.0,1832.0,2.4,1.6,0.7999999999999998,5.4,1.2,1.0,1.0,0,0,0,0,Draw
1911-04-02,Netherlands,Belgium,Friendly,1911,144.0,1927.0,1783.0,2.4,1.8,0.5999999999999999,4.0,2.2,1.4,2.8,0,0,0,0,Home Win
1911-04-23,Belgium,Germany,Friendly,1911,125.0,1783.0,1658.0,1.2,1.2,0.0,1.8,2.4,3.0,2.6,0,0,0,0,Home Win
1911-04-23,Switzerland,France,Friendly,1911,-53.0,1490.0,1543.0,0.0,0.6,-0.6,1.25,1.2,3.0,3.2,0,0,0,0,Home Win
1911-04-30,Belgium,France,Friendly,1911,240.0,1783.0,1543.0,1.2,0.0,1.2,1.4,1.2,3.2,4.0,0,0,0,0,Home Win
1911-06-18,Sweden,Germany,Friendly,1911,9.0,1667.0,1658.0,3.0,0.6,2.4,4.0,2.0,0.0,2.6,0,0,0,0,Away Win
1911-08-15,Argentina,Uruguay,Copa Lipton,1911,31.0,1946.0,1915.0,1.4,1.4,0.0,2.2,2.4,2.4,2.2,0,0,0,0,Away Win
1911-09-17,Sweden,Norway,Friendly,1911,282.0,1667.0,1385.0,1.5,0.0,1.5,3.0,0.0,2.0,4.0,0,0,0,0,Home Win
1911-09-17,Uruguay,Argentina,Copa Newton,1911,-31.0,1915.0,1946.0,2.0,0.8,1.2,2.6,1.6,1.6,2.6,0,0,0,0,Away Win
1911-10-08,Uruguay,Argentina,Copa Premio Honor Uruguayo,1911,-31.0,1915.0,1946.0,2.0,0.8,1.2,2.8,1.4,1.4,2.8,0,0,0,0,Draw
1911-10-09,Germany,Austria,Friendly,1911,-190.0,1658.0,1848.0,1.2,0.0,1.2,2.4,1.0,2.2,8.333333333333334,0,0,0,0,Away Win
1911-10-22,Argentina,Uruguay,Copa Premio Honor Argentino,1911,31.0,1946.0,1915.0,1.0,1.6,-0.6000000000000001,1.4,2.4,2.4,1.4,0,0,0,0,Home Win
1911-10-29,Germany,Sweden,Friendly,1911,-9.0,1658.0,1667.0,1.2,2.0,-0.8,2.6,3.3333333333333335,2.0,1.6666666666666667,0,0,0,0,Away Win
1911-10-29,Uruguay,Argentina,Copa Premio Honor Uruguayo,1911,-31.0,1915.0,1946.0,1.4,1.4,0.0,2.2,1.6,1.6,2.2,0,0,0,0,Home Win
1912-01-28,France,Belgium,Friendly,1912,-231.0,1529.0,1760.0,0.0,1.8,-1.8,1.2,2.8,5.0,2.0,0,0,0,0,Draw
1912-02-18,France,Switzerland,Friendly,1912,-14.0,1529.0,1543.0,0.2,0.6,-0.39999999999999997,1.2,2.0,4.4,2.8,0,0,0,0,Home Win
1912-02-20,Belgium,Switzerland,Friendly,1912,217.0,1760.0,1543.0,1.4,0.6,0.7999999999999999,2.4,2.0,2.2,3.2,0,0,0,0,Home Win
1912-03-10,Belgium,Netherlands,Friendly,1912,-190.0,1760.0,1950.0,2.0,3.0,-1.0,4.0,4.2,1.6,1.0,0,0,0,0,Away Win
1912-03-23,Scotland,England,British Home Championship,1912,-300.0,1847.0,2147.0,1.2,2.0,-0.8,1.0,4.4,1.0,1.0,0,0,0,0,Draw
1912-03-24,Netherlands,Germany,Friendly,1912,302.0,1950.0,1648.0,3.0,1.2,1.8,3.2,2.6,1.2,2.2,0,0,0,0,Draw
1912-04-28,Netherlands,Belgium,Friendly,1912,190.0,1950.0,1760.0,2.6,2.0,0.6000000000000001,3.4,4.0,1.8,1.4,0,0,0,0,Home Win
1912-05-05,Switzerland,Germany,Friendly,1912,-105.0,1543.0,1648.0,0.6,0.8,-0.20000000000000007,2.4,2.4,4.8,2.8,0,0,0,0,Away Win
1912-06-16,Norway,Sweden,Friendly,1912,-310.0,1381.0,1691.0,0.0,2.25,-2.25,0.5,3.25,4.0,1.5,0,0,0,0,Away Win
1912-06-29,Austria,Germany,Olympic Games,1912,204.0,1852.0,1648.0,0.75,1.4,-0.6499999999999999,1.25,2.6,6.5,2.6,0,0,0,0,Home Win
1912-06-29,Sweden,Netherlands,Olympic Games,1912,-259.0,1691.0,1950.0,2.4,2.6,-0.20000000000000018,3.0,3.8,1.4,2.2,0,0,0,0,Away Win
1912-06-30,Netherlands,Austria,Olympic Games,1912,98.0,1950.0,1852.0,2.6,1.2,1.4000000000000001,3.6,2.0,2.6,5.4,0,0,0,0,Home Win
1912-07-01,Austria,Norway,Olympic Games,1912,471.0,1852.0,1381.0,1.2,0.0,1.2,2.0,0.6666666666666666,4.8,3.3333333333333335,0,0,0,0,Home Win
1912-08-15,Uruguay,Argentina,Copa Lipton,1912,-17.0,1922.0,1939.0,1.4,1.4,0.0,1.6,1.2,1.2,1.6,0,0,0,0,Home Win
1912-08-25,Uruguay,Argentina,Copa Premio Honor Uruguayo,1912,-17.0,1922.0,1939.0,1.4,1.4,0.0,1.6,1.2,1.2,1.6,0,0,0,0,Home Win
1912-09-22,Argentina,Uruguay,Copa Premio Honor Argentino,1912,17.0,1939.0,1922.0,0.8,2.0,-1.2,0.6,1.8,1.8,0.6,0,0,0,0,Away Win
1912-10-06,Argentina,Uruguay,Copa Newton,1912,17.0,1939.0,1922.0,0.6,2.4,-1.7999999999999998,0.4,1.8,1.8,0.4,0,0,0,0,Draw
1912-11-03,Sweden,Norway,Friendly,1912,310.0,1691.0,1381.0,1.8,0.0,1.8,2.8,0.5,2.2,2.75,0,0,0,0,Home Win
1912-11-17,Germany,Netherlands,Friendly,1912,-302.0,1648.0,1950.0,0.8,2.6,-1.8,2.0,3.6,3.2,2.6,0,0,0,0,Away Win
1912-12-01,Uruguay,Argentina,Friendly,1912,-17.0,1922.0,1939.0,2.6,0.2,2.4,2.4,0.6,0.6,2.4,0,0,0,0,Away Win
1913-02-16,Belgium,France,Friendly,1913,180.0,1742.0,1562.0,1.4,0.8,0.5999999999999999,4.2,1.6,2.0,3.6,0,0,0,0,Home Win
1913-03-09,Belgium,Netherlands,Friendly,1913,-235.0,1742.0,1977.0,1.4,2.6,-1.2000000000000002,3.4,3.8,1.8,2.8,0,0,0,0,Draw
1913-03-09,Switzerland,France,Friendly,1913,-47.0,1515.0,1562.0,0.6,0.8,-0.20000000000000007,2.2,1.6,4.6,3.4,0,0,0,0,Away Win
1913-04-05,England,Scotland,British Home Championship,1913,340.0,2213.0,1873.0,1.6,1.2,0.40000000000000013,2.4,1.0,1.0,1.0,0,0,0,0,Home Win
1913-04-20,Netherlands,Belgium,Friendly,1913,235.0,1977.0,1742.0,2.6,1.4,1.2000000000000002,3.4,3.8,2.4,2.2,0,0,0,0,Away Win
1913-05-04,Switzerland,Belgium,Friendly,1913,-227.0,1515.0,1742.0,0.6,1.4,-0.7999999999999999,2.0,2.8,4.2,2.2,0,0,0,0,Away Win
1913-05-18,Germany,Switzerland,Friendly,1913,174.0,1689.0,1515.0,0.8,0.0,0.8,2.2,1.2,3.4,4.2,0,0,0,0,Away Win
1913-06-08,Sweden,Norway,Friendly,1913,275.0,1649.0,1374.0,2.4,0.0,2.4,3.2,0.8,1.8,3.0,0,0,0,0,Home Win
1913-06-15,Argentina,Uruguay,Friendly,1913,-9.0,1926.0,1935.0,0.8,2.0,-1.2,1.2,2.0,2.0,1.2,0,0,0,0,Draw
1913-07-09,Argentina,Uruguay,Friendly,1913,-9.0,1926.0,1935.0,1.0,1.6,-0.6000000000000001,1.4,1.8,1.8,1.4,0,0,0,0,Home Win
1913-08-15,Argentina,Uruguay,Copa Lipton,1913,-9.0,1926.0,1935.0,1.6,1.0,0.6000000000000001,1.8,1.4,1.4,1.8,0,0,0,0,Home Win
1913-08-31,Argentina,Uruguay,Copa Premio Honor Argentino,1913,-9.0,1926.0,1935.0,2.2,0.4,1.8000000000000003,2.6,1.2,1.2,2.6,0,0,0,0,Home Win
1913-10-05,Uruguay,Argentina,Copa Premio Honor Uruguayo,1913,9.0,1935.0,1926.0,0.2,2.6,-2.4,0.6,2.4,2.4,0.6,0,0,0,0,Home Win
1913-10-26,Norway,Sweden,Friendly,1913,-275.0,1374.0,1649.0,0.0,2.4,-2.4,0.8,4.2,4.0,1.6,0,0,0,0,Draw
1913-10-26,Uruguay,Argentina,Copa Newton,1913,9.0,1935.0,1926.0,0.8,2.0,-1.2,0.6,1.8,1.8,0.6,0,0,0,0,Home Win
1913-11-02,Belgium,Switzerland,Friendly,1913,227.0,1742.0,1515.0,2.0,0.6,1.4,3.0,1.4,2.0,3.6,0,0,0,0,Home Win
1913-11-23,Belgium,Germany,Friendly,1913,53.0,1742.0,1689.0,2.6,0.8,1.8,2.8,2.2,1.2,3.2,0,0,0,0,Home Win
1914-01-25,France,Belgium,Friendly,1914,-213.0,1587.0,1800.0,1.4,2.6,-1.2000000000000002,2.0,3.4,2.6,1.6,0,0,0,0,Home Win
1914-03-08,France,Switzerland,Friendly,1914,83.0,1587.0,1504.0,2.0,0.6,1.4,2.6,1.0,1.8,2.2,0,0,0,0,Draw
1914-03-15,Belgium,Netherlands,Friendly,1914,-143.0,1800.0,1943.0,2.4,2.0,0.3999999999999999,3.4,3.0,1.8,2.6,0,0,0,0,Away Win
1914-04-04,Scotland,England,British Home Championship,1914,-307.0,1867.0,2174.0,1.0,1.6,-0.6000000000000001,0.8,2.2,1.0,1.0,0,0,0,0,Home Win
1914-04-05,Netherlands,Germany,Friendly,1914,292.0,1943.0,1651.0,2.0,0.6,1.4,3.0,1.6,2.4,3.4,0,0,0,0,Draw
1914-04-26,Netherlands,Belgium,Friendly,1914,143.0,1943.0,1800.0,1.6,1.8,-0.19999999999999996,3.2,3.0,3.0,2.2,0,0,0,0,Home Win
1914-06-28,Norway,Sweden,Friendly,1914,-270.0,1379.0,1649.0,0.2,2.0,-1.8,0.8,3.8,3.4,1.6,0,0,0,0,Away Win
1914-08-30,Uruguay,Argentina,Copa Premio Honor Uruguayo,1914,-21.0,1921.0,1942.0,1.2,1.8,-0.6000000000000001,0.6,1.6,1.6,0.6,0,0,0,0,Home Win
1914-09-13,Argentina,Uruguay,Copa Premio Honor Argentino,1914,21.0,1942.0,1921.0,1.2,1.8,-0.6000000000000001,1.6,1.0,1.0,1.6,0,0,0,0,Home Win
1914-10-25,Sweden,Norway,Friendly,1914,270.0,1649.0,1379.0,2.0,0.2,1.8,3.6,0.6,1.4,3.2,0,0,0,0,Home Win
1915-06-27,Norway,Sweden,Friendly,1915,-269.0,1377.0,1646.0,0.2,2.6,-2.4,0.6,4.4,4.4,0.6,0,0,0,0,Draw
1915-07-18,Uruguay,Argentina,Copa Premio Honor Uruguayo,1915,-17.0,1918.0,1935.0,1.8,1.2,0.6000000000000001,1.2,1.2,1.2,1.2,0,0,0,0,Away Win
1915-08-15,Argentina,Uruguay,Copa Lipton,1915,17.0,1935.0,1918.0,1.2,1.8,-0.6000000000000001,1.4,1.6,1.6,1.4,0,0,0,0,Home Win
1915-09-12,Uruguay,Argentina,Copa Newton,1915,-17.0,1918.0,1935.0,1.2,1.8,-0.6000000000000001,1.6,1.8,1.8,1.6,0,0,0,0,Home Win
1915-10-24,Sweden,Norway,Friendly,1915,269.0,1646.0,1377.0,2.2,0.4,1.8000000000000003,3.8,0.4,0.4,3.8,0,0,0,0,Home Win
1916-07-02,Sweden,Norway,Friendly,1916,264.0,1641.0,1377.0,2.2,0.4,1.8000000000000003,3.0,0.8,0.8,3.0,0,0,0,0,Home Win
1916-07-12,Brazil,Uruguay,Copa América,1916,-3.0,1910.0,1913.0,1.0,1.2,-0.19999999999999996,1.0,1.8,1.0,1.8,0,0,0,0,Away Win
1916-07-17,Argentina,Uruguay,Copa América,1916,27.0,1940.0,1913.0,2.0,1.2,0.8,1.6,1.6,1.4,1.6,0,0,0,0,Draw
1916-07-18,Uruguay,Brazil,Friendly,1916,3.0,1913.0,1910.0,1.4,0.5,0.8999999999999999,1.4,1.0,1.2,1.5,0,0,0,0,Away Win
1916-08-15,Argentina,Uruguay,Copa Newton,1916,27.0,1940.0,1913.0,1.6,1.4,0.20000000000000018,1.2,1.0,1.2,0.8,0,0,0,0,Home Win
1916-08-15,Uruguay,Argentina,Copa Lipton,1916,-27.0,1913.0,1940.0,1.4,1.6,-0.20000000000000018,1.0,1.2,0.8,1.2,0,0,0,0,Away Win
1916-10-01,Argentina,Uruguay,Friendly,1916,27.0,1940.0,1913.0,1.6,0.8,0.8,1.2,0.8,1.0,1.4,0,0,0,0,Home Win
1916-10-01,Norway,Sweden,Friendly,1916,-264.0,1377.0,1641.0,0.2,2.6,-2.4,0.6,4.0,4.0,0.6,0,0,0,0,Draw
1916-10-01,Uruguay,Argentina,Copa Premio Honor Uruguayo,1916,-27.0,1913.0,1940.0,0.8,1.6,-0.8,0.8,1.2,1.4,1.0,0,0,0,0,Away Win
1916-10-29,Uruguay,Argentina,Friendly,1916,-27.0,1913.0,1940.0,0.0,2.6,-2.6,0.8,2.6,2.8,0.8,0,0,0,0,Home Win
1917-07-18,Uruguay,Argentina,Copa Premio Honor Uruguayo,1917,-80.0,1890.0,1970.0,0.6,2.4,-1.7999999999999998,1.4,2.8,2.8,1.4,0,0,0,0,Away Win
1917-08-15,Argentina,Uruguay,Copa Lipton,1917,80.0,1970.0,1890.0,2.4,0.6,1.7999999999999998,2.6,1.2,1.2,2.8,0,0,0,0,Home Win
1917-08-19,Sweden,Norway,Friendly,1917,283.0,1663.0,1380.0,2.2,0.4,1.8000000000000003,3.8,0.6,0.6,3.8,0,0,0,0,Draw
1917-09-02,Uruguay,Argentina,Copa Newton,1917,-80.0,1890.0,1970.0,0.6,2.4,-1.7999999999999998,1.0,2.4,2.4,1.0,0,0,0,0,Home Win
1917-09-16,Norway,Sweden,Friendly,1917,-283.0,1380.0,1663.0,0.6,1.8,-1.2000000000000002,1.2,3.0,3.0,1.2,0,0,0,0,Away Win
1917-10-03,Argentina,Brazil,Copa América,1917,82.0,1970.0,1888.0,1.8,1.3333333333333333,0.4666666666666668,1.0,1.0,0.8,1.0,0,0,0,0,Home Win
1917-10-07,Uruguay,Brazil,Copa América,1917,2.0,1890.0,1888.0,1.2,1.0,0.19999999999999996,1.2,1.25,2.2,1.75,0,0,0,0,Home Win
